タイトル / Title,著者・作成者 / Creator,別表記タイトル / Other Title,種別 / Type,言語 / Langage,年月日 / Date,NCID,雑誌名 / Journal,巻 / Volume,号 / Number,"ページ数, 冊数 / Pages, Volumes",大きさ / Size,専攻 / Department,注記 / Note,請求記号 / Call Number,所蔵図書室 / Holding Library,タグ / Tag,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,IIIFマニフェストURI,# of media
dcterms:title,dcterms:creator,dcterms:alternative,dcndl:materialType,dcterms:language,dcterms:date,bibo:identifier,dcndl:seriesTitle,dcndl:volume,dcndl:number,dcndl:pageRange,dcterms:extent,dcndl:location,dcterms:description,dcndl:callNumber,dcndl:holdingAgent,dcterms:subject,dcterms:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,uterms:manifestUri,3662
臺灣島鑛業調査報告,的塲 中|Matoba Chu (Ataru),,紀要論文|Bulletin Paper,日本語|Japanese,1899,AN00286013,東京帝國大學工科大學學術報告,,1,p.1-31,,,,,工2号館図書室|Engineering Bldg. 2 Library,,413eb6f4-842a-42af-b0f0-0150ad33f513,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/413eb6f4-842a-42af-b0f0-0150ad33f513,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68845,,,0
臺灣土木事業調査報告,吉町 太郎一|Yoshimachi Taroichi,,紀要論文|Bulletin Paper,日本語|Japanese,1900,AN00286013,東京帝國大學工科大學學術報告,,2,p.1-37,,,,,工2号館図書室|Engineering Bldg. 2 Library,,466e7900-c6b0-4205-8fa9-5afd01917415,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/466e7900-c6b0-4205-8fa9-5afd01917415,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68846,,,0
臺灣巡回報告,服部 鹿次郎|Hattori Shikajiro,,紀要論文|Bulletin Paper,日本語|Japanese,1901,AN00286013,東京帝國大學工科大學學術報告,,3,p.1-13,,,,,工2号館図書室|Engineering Bldg. 2 Library,,bc47414b-4917-43b7-8ff1-486f8f92329e,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/bc47414b-4917-43b7-8ff1-486f8f92329e,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68847,,,0
泡盛酒醸造研究報告,宇佐美 桂一郎|Usami Keiichiro,泡盛醸造研究報告,紀要論文|Bulletin Paper,日本語|Japanese,1901,AN00286013,東京帝國大學工科大學學術報告,,3,p.15-37,,,,,工2号館図書室|Engineering Bldg. 2 Library,,d9e23728-8e9b-4e41-8049-f343304e671b,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/d9e23728-8e9b-4e41-8049-f343304e671b,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68848,,,0
清國北京紫禁城殿門ノ建築,伊東 忠太|Ito Chuta,清國北京紫禁城殿門の建築,紀要論文|Bulletin Paper,日本語|Japanese,1903,AN00286013,東京帝國大學工科大學學術報告,,4,p.1-63,,,,,工2号館図書室|Engineering Bldg. 2 Library,,d7203af3-4099-4808-9fb8-e1567579e5d4,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/d7203af3-4099-4808-9fb8-e1567579e5d4,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68849,,,0
清國北京紫禁城建築調査報告,土屋 純一|Tsuchiya Junichi,,紀要論文|Bulletin Paper,日本語|Japanese,1903,AN00286013,東京帝國大學工科大學學術報告,,4,p.1-46,,,,,工2号館図書室|Engineering Bldg. 2 Library,,c1551198-1f09-4c19-b8cd-efba4ee1215f,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/c1551198-1f09-4c19-b8cd-efba4ee1215f,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68850,,,0
Result of Tests of Vacuum Gauges,井口 在屋|内丸 最一郎|Inokuchi (Inokuty) Ariya|Uchimaru (Utimaru) Saichiro,眞空計試驗の結果,紀要論文|Bulletin Paper,英語|English,1903,AN00286013,東京帝國大學工科大學學術報告,,5,p.1-3,,,,,工2号館図書室|Engineering Bldg. 2 Library,,14234940-b9e4-464f-a750-157b531b0574,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/14234940-b9e4-464f-a750-157b531b0574,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68851,,,0
Determination of Coefficients of Discharge from a Rectangular Notch,井口 在屋|内丸 最一郎|Inokuchi (Inokuty) Ariya|Uchimaru (Utimaru) Saichiro,切りかき流量計の係數測定,紀要論文|Bulletin Paper,英語|English,1903,AN00286013,東京帝國大學工科大學學術報告,,5,p.4-6,,,,,工2号館図書室|Engineering Bldg. 2 Library,,32b9da89-6c21-4112-ad7a-dc5def322a27,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/32b9da89-6c21-4112-ad7a-dc5def322a27,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68852,,,0
Torsion Test of Cast-Iron,井口 在屋|田中 不二|Inokuchi (Inokuty) Ariya|Tanaka Fuji,鑄鐵のネヂリ試驗,紀要論文|Bulletin Paper,英語|English,1903,AN00286013,東京帝國大學工科大學學術報告,,5,p.7-9,,,,,工2号館図書室|Engineering Bldg. 2 Library,,b02254b0-f59b-452b-b665-48f76d9392dc,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/b02254b0-f59b-452b-b665-48f76d9392dc,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68853,,,0
